Judet;CIF Entitate Publica;Denumire Entitate Publica;Denumire UAT pe raza careia isi desfasoara activitatea;Adresa de corespondenta;CIF Ordonator  principal  de credite (1);Denumire ordonator  principal de credite (1);CIF Ordonator  principal  de credite (2);Denumire ordonator  principal de credite (2)
Ilfov;39279017;SERVICIUL LOCAL DE SALUBRIZARE GLINA;Comuna Glina;Ilfov, Comuna Glina, STRADA LIBERTATII, Numar 292, Bloc/Scara -, Sector , Cod postal 77105;4420767;COMUNA GLINA;;
Ilfov;39505017;DIRECTIA DE ASISTENTA SOCIALA BRAGADIRU. JUDETUL ILFOV;Orasul Bragadiru;Ilfov, Orasul Bragadiru, SOSEA ALEXANDRIEI, Numar 249, Bloc/Scara , Sector , Cod postal 77025;4992998;ORAS BRAGADIRU;;
Ilfov;39538880;CLUBUL SPORTIV ORASENESC VOLUNTARI 2005;Orasul Voluntari;Ilfov, Orasul Voluntari, STRADA TUDOR VLADIMIRESCU, Numar 40, Bloc/Scara , Sector , Cod postal 77191;4283481;ORAS VOLUNTARI;;
Ilfov;39656745;CLUB SPORTIV GLINA;Comuna Glina;Ilfov, Comuna Glina, STRADA STR LIBERTATII, Numar 320B, Bloc/Scara , Sector , Cod postal 77105;4420767;COMUNA GLINA;;
Ilfov;39759384;DIRECTIA DE ASISTENTA SOCIALA VOLUNTARI;Orasul Voluntari;Ilfov, Orasul Voluntari, STRADA BUCEGI, Numar 59, Bloc/Scara , Sector , Cod postal 77190;4283481;ORAS VOLUNTARI;;
Ilfov;39830697;SCOALA GIMNAZIALA NR.2 FUNDENI DOBROESTI;Comuna Dobroesti;Ilfov, Comuna Dobroesti, STRADA AGRICULTARILOR, Numar 18-20, Bloc/Scara , Sector , Cod postal 77085;4283503;PRIMARIA COMUNEI DOBROESTI;13729380;MINISTERUL EDUCATIEI NATIONALE
Ilfov;40219248;CAMINUL PENTRU PERSOANE VARSTNICE VOLUNTARI;Orasul Voluntari;Ilfov, Orasul Voluntari, BULEVARD BVD. DUNARII, Numar 71, Bloc/Scara , Sector , Cod postal 0;4283481;CONSILIUL LOCAL AL PRIMARIEI ORAS VOLUNTARI;;
Ilfov;41262980;CLUBUL SPORTIV LOCAL STEFANESTI DE JOS;Comuna Stefanestii de Jos;Ilfov, Comuna Stefanestii de Jos, STRADA , Numar 1, Bloc/Scara TARLAUA NR 17 PARCELA 812, Sector , Cod postal 77175;4420775;COMUNA STEFANESTII DE JOS;;
Ilfov;42514929;SERVICIUL DE UTILITATI PUBLICE BUFTEA;Orasul Buftea;Ilfov, Orasul Buftea, STRADA PIATA MIHAI EMINESCU, Numar 1, Bloc/Scara CAMERA 122, Sector , Cod postal 70000;4434029;PRIMARIA BUFTEA;;
Ilfov;43448769;SERVICIUL PENTRU GESTIONAREA CAINILOR FARA STAPAN;Comuna Branesti;Ilfov, Comuna Branesti, STRADA FERMELOR, Numar 51, Bloc/Scara , Sector , Cod postal 77031;4420724;PRIMARIA COMUNEI BRANESTI;;
Ilfov;44049286;CLUBUL SPORTIV VOINTA DOMNESTI;Comuna Domnesti;Ilfov, Comuna Domnesti, STRADA STRADA CIUTACI NR.28, Numar 28, Bloc/Scara , Sector , Cod postal 77090;4221136;COMUNA DOMNESTI;;
Maramures;2221040;SERVICIUL DE GOSPODARIRE COMUNALA SI LOCATIVA;Orasul Viseu de Sus;Maramures, Orasul Viseu de Sus, STRADA REPUBLICII, Numar 5, Bloc/Scara , Sector , Cod postal 435700;3627641;ORAS VISEU DE SUS;;
Maramures;3626905;COMUNA SATULUNG;Comuna Satulung;Maramures, Comuna Satulung, STRADA SATULUNG, Numar 128, Bloc/Scara , Sector , Cod postal 437270;;;;
