Judet;CIF Entitate Publica;Denumire Entitate Publica;Denumire UAT pe raza careia isi desfasoara activitatea;Adresa de corespondenta;CIF Ordonator  principal  de credite (1);Denumire ordonator  principal de credite (1);CIF Ordonator  principal  de credite (2);Denumire ordonator  principal de credite (2)
Alba;1767070;STATIUNEA DE CERCETARE-DEZVOLTARE PENTRU VITICULTURA SI VINIFICATIE BLAJ;Municipiul Blaj;Alba, Municipiul Blaj, STRADA Gheorghe Baritiu, Numar 2, Bloc/Scara , Sector , Cod postal 515400;4221187;Ministerul Agriculturii si Dezvoltarii Rurale;;
Alba;4331007;LICEUL CORNELIU MEDREA ZLATNA;Orasul Zlatna;Alba, Orasul Zlatna, STRADA TUDOR VLADIMIRESCU, Numar 14, Bloc/Scara , Sector , Cod postal 516100;4331031;ORAS ZLATNA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331031;ORAS ZLATNA;Orasul Zlatna;Alba, Orasul Zlatna, STRADA PIATA UNIRII, Numar 1A, Bloc/Scara , Sector , Cod postal 5161100;;;;
Alba;4331058;INSPECTORATUL JUD.POLITIE ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA I.C.BRATIANU, Numar 1 B, Bloc/Scara , Sector , Cod postal 510118;4267095;MINISTERUL AFACERILOR INTERNE;;
Alba;4331066;SPITALUL DE PNEUMOFTIZIOLOGIE;Municipiul Aiud;Alba, Municipiul Aiud, STRADA ECATERINA VARGA, Numar 6, Bloc/Scara , Sector , Cod postal 515200;4562583;JUDETUL ALBA;;
Alba;4331074;SPITALUL ORASENESC CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA HOREA, Numar 63, Bloc/Scara , Sector , Cod postal 515500;4331112;ORASUL CIMPENI;;
Alba;4331082;LICEUL TEHNOLOGIC  SILVIC CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA IZVOARELOR, Numar 2, Bloc/Scara , Sector , Cod postal 515500;4331112;ORAS CIMPENI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331090;COLEGIUL NATIONAL  AVRAM IANCU  CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA OITUZ, Numar 3, Bloc/Scara , Sector , Cod postal 515500;4331112;ORAS CIMPENI;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331104;SPITALUL  DE  BOLI  CRONICE  CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA CRISAN, Numar 11, Bloc/Scara , Sector , Cod postal 515500;4331112;Orasul   Campeni;;
Alba;4331112;ORAS CIMPENI;Orasul Cimpeni;Alba, Orasul Cimpeni, STRADA Avram Iancu, Numar 5, Bloc/Scara , Sector , Cod postal 515500;;;;
Alba;4331201;MUNICIPIUL SEBES;Municipiul Sebes;Alba, Municipiul Sebes, PIATA PRIMARIEI, Numar 1, Bloc/Scara , Sector 1, Cod postal 515800;;;;
Alba;4331210;SPITALUL MUNICIPAL SEBES;Municipiul Sebes;Alba, Municipiul Sebes, STRADA SURIANU, Numar 41, Bloc/Scara , Sector , Cod postal 5158000;4331201;MUNICIPIUL SEBES;;
Alba;4331228;LICEUL CU PROGRAM SPORTIV  FLORIN FLESERIU SEBES;Municipiul Sebes;Alba, Municipiul Sebes, BULEVARD LUCIAN BLAGA, Numar 76, Bloc/Scara , Sector , Cod postal 515800;4331201;MUNICIPIUL SEBES;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331236;UM 02213;Municipiul Sebes;Alba, Municipiul Sebes, STRADA CALARASI, Numar 74, Bloc/Scara , Sector , Cod postal 515800;11424532;MNISTERUL APARARII NATIONALE;;
Alba;4331244;CAMINUL PENTRU PERSOANE VARSTNICE SEBES;Municipiul Sebes;Alba, Municipiul Sebes, STRADA Penes Curcanu, Numar 17, Bloc/Scara , Sector , Cod postal 515800;4331201;Municipiul Sebes;;
Alba;4331260;COLEGIUL NATIONAL LUCIAN BLAGA;Municipiul Sebes;Alba, Municipiul Sebes, STRADA CALUGARENI, Numar 49, Bloc/Scara , Sector , Cod postal 515800;4331201;MUNICIPIUL SEBES;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4331325;SPITALUL ORASENESC CUGIR;Orasul Cugir;Alba, Orasul Cugir, STRADA NICOLAE BALCESCU, Numar 5, Bloc/Scara , Sector , Cod postal 515600;5146873;ORAS CUGIR;;
Alba;4331341;PENITENCIARUL AIUD;Municipiul Aiud;Alba, Municipiul Aiud, STRADA MORII, Numar 7-9, Bloc/Scara , Sector , Cod postal 515200;4265841;MINISTERUL JUSTITIEI;;
Alba;4331376;INSPECTORAUL  PTR SITUATII DE URGENTA A JUD ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA ALEXANDRU IOAN CUZA, Numar 10, Bloc/Scara , Sector , Cod postal 510193;4267095;MINISTERUL AFACERILOR INTERNE;;
Alba;4331430;UM 0338 ALBA IULIA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA ALEXANDRU IOAN CUZA, Numar 18, Bloc/Scara , Sector , Cod postal 510193;4267095;MINISTERUL AFACERILOR INTERNE;;
Alba;4331449;UNITATEA MILITARA 02401;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, BULEVARD REVOLUTIEI 1989, Numar 25, Bloc/Scara , Sector , Cod postal 510077;11424532;MINISTERUL APARARII NATIONALE;;
Alba;4331457;MUZEUL NATIONAL AL UNIRII ALBA IULIA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA Mihai Viteazul, Numar 12-14, Bloc/Scara , Sector , Cod postal 510010;4562583;JUDETUL ALBA;;
Alba;4331465;CLUBUL SPORTIV UNIREA ALBA IULIA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA SEPTIMIUS SEVERUS, Numar 53, Bloc/Scara , Sector , Cod postal 510129;26604620;MINISTERUL TINERETULUI SI SPORTULUI;;
Alba;4331473;PARCHETUL DE PE LANGA TRIBUNALUL JUD ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, PIATA IULIU MANIU, Numar 24, Bloc/Scara , Sector , Cod postal 510111;4364748;Ministerul Public;;
Alba;4331481;DIRECTIA REGIONALA DE STATISTICA ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA OCTAVIAN GOGA, Numar 9, Bloc/Scara , Sector , Cod postal 510150;4283422;SECRETARIATUL GENERAL AL GUVERNULUI;;
Alba;4331503;DIRECTIA JUDETEANA PENTRU CULTURA ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA Regina Maria, Numar 20, Bloc/Scara , Sector , Cod postal 510103;4192812;MINISTERUL CULTURII;;
Alba;4331511;TEATRUL DE PAPUSI;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA ANDREI MURESANU, Numar 3, Bloc/Scara , Sector , Cod postal 510117;4562583;JUDETUL ALBA;;
Alba;4331546;U.M. 01684;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA Mitropolit Alexandru Sulutiu Sterca, Numar 2, Bloc/Scara , Sector , Cod postal 510010;11424532;MINISTERUL APARARII NATIONALE;;
Alba;4331562;DIRECTIA DE SANATATE PUBLICA A JUDETULUI ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, BULEVARD REVOLUTIEI 1989, Numar 23, Bloc/Scara , Sector , Cod postal 510039;4266456;MINISTERUL SANATATII;;
Alba;4561898;ORAS BAIA DE ARIES;Oras Baia de Aries;Alba, Oras Baia de Aries, STRADA PIATA BAII, Numar 1, Bloc/Scara , Sector , Cod postal 515300;;;;
Alba;4561901;COMUNA LUPSA;Comuna Lupsa;Alba, Comuna Lupsa, STRADA LUPSA, Numar 1, Bloc/Scara , Sector , Cod postal 517410;;;;
Alba;4561910;Comuna Ocolis;Comuna Ocolis;Alba, Comuna Ocolis, Sat Ocolis, Numar 152, Bloc/Scara , Sector , Cod postal 517525;;;;
Alba;4561928;COMUNA GALDA DE JOS;Comuna Galda de Jos;Alba, Comuna Galda de Jos, Sat Galda de Jos, Numar 90, Bloc/Scara , Sector , Cod postal 517285;;;;
Alba;4561936;COMUNA CILNIC;Comuna Calnic;Alba, Comuna Calnic, STRADA PRINCIPALA, Numar 20, Bloc/Scara , Sector , Cod postal 517205;;;;
Alba;4561944;COMUNA CRACIUNELU DE JOS;Comuna Craciunelu de Jos;Alba, Comuna Craciunelu de Jos, STRADA 6 Martie, Numar 133, Bloc/Scara , Sector , Cod postal 517260;;;;
Alba;4561952;Comuna Pianu;Comuna Pianu;Alba, Comuna Pianu, STRADA Pianu de Sus, Numar 94, Bloc/Scara , Sector , Cod postal 517537;;;;
Alba;4561960;ORAS TEIUS;Orasul Teius;Alba, Orasul Teius, STRADA CLUJULUI, Numar 80, Bloc/Scara , Sector , Cod postal 515900;;;;
Alba;4561979;COMUNA BUCIUM;Comuna Bucium;Alba, Comuna Bucium, Sat BUCIUM, Numar 25, Bloc/Scara , Sector , Cod postal 517165;;;;
Alba;4561987;COMUNA HOPIRTA;Comuna Hopirta;Alba, Comuna Hopirta, STRADA HOPIRTA, Numar 159, Bloc/Scara , Sector , Cod postal 517335;;;;
Alba;4561995;COMUNA LOPADEA NOUA;Comuna Lopadea Noua;Alba, Comuna Lopadea Noua, Sat LOPADEA NOUA, Numar 282, Bloc/Scara , Sector , Cod postal 517395;;;;
Alba;4562001;COMUNA SALISTEA;Comuna Salistea;Alba, Comuna Salistea, STRADA SALISTEA, Numar 447, Bloc/Scara , Sector , Cod postal 517655;;;;
Alba;4562010;COMUNA CERGAU;Comuna Cergau;Alba, Comuna Cergau, Sat CERGAU MARE, Numar 126, Bloc/Scara , Sector , Cod postal 517216;;;;
Alba;4562028;COMUNA CENADE;Comuna Cenade;Alba, Comuna Cenade, Sat CENADE, Numar 372, Bloc/Scara , Sector , Cod postal 517210;;;;
Alba;4562036;COMUNA SONA;Comuna Sona;Alba, Comuna Sona, STRADA LUNGA, Numar 2, Bloc/Scara , Sector , Cod postal 517755;;;;
Alba;4562044;COMUNA GIRBOVA;Comuna Garbova;Alba, Comuna Garbova, STRADA GIRBOVA, Numar 452, Bloc/Scara , Sector , Cod postal 517305;;;;
Alba;4562060;COMUNA ROSIA DE SECAS;Comuna Rosia de Secas;Alba, Comuna Rosia de Secas, STRADA Rosia de Secas, Numar 458, Bloc/Scara , Sector , Cod postal 517640;;;;
Alba;4562079;COMUNA CERU BACAINTI;Comuna Ceru Bacainti;Alba, Comuna Ceru Bacainti, STRADA CERU BACAINTI, Numar 29, Bloc/Scara , Sector , Cod postal 517220;;;;
Alba;4562087;COMUNA UNIREA;Comuna Unirea;Alba, Comuna Unirea, STRADA Muresului, Numar 597, Bloc/Scara , Sector , Cod postal 517785;;;;
Alba;4562095;COMUNA SANTIMBRU;Comuna Santimbru;Alba, Comuna Santimbru, STRADA SANTIMBRU, Numar 187, Bloc/Scara , Sector , Cod postal 517675;;;;
Alba;4562109;COMUNA SASCIORI;Comuna Sasciori;Alba, Comuna Sasciori, STRADA SASCIORI, Numar 363, Bloc/Scara , Sector , Cod postal 517660;;;;
Alba;4562117;COMUNA LIVEZILE;Comuna Livezile;Alba, Comuna Livezile, Sat LIVEZILE, Numar 59, Bloc/Scara , Sector , Cod postal 517390;;;;
Alba;4562125;Comuna Rimetea;Comuna Rimetea;Alba, Comuna Rimetea, STRADA Rimetea, Numar 34, Bloc/Scara , Sector , Cod postal 517610;;;;
Alba;4562133;COMUNA SPRING;Comuna Spring;Alba, Comuna Spring, STRADA SPRING, Numar 94, Bloc/Scara , Sector , Cod postal 517765;;;;
Alba;4562141;COMUNA SANCEL;Comuna Sancel;Alba, Comuna Sancel, STRADA MIHAI EMINESCU, Numar 70, Bloc/Scara , Sector , Cod postal 517670;;;;
Alba;4562150;COMUNA METES;Comuna Metes;Alba, Comuna Metes, STRADA PRINCIPALA, Numar 43, Bloc/Scara , Sector , Cod postal 517445;;;;
Alba;4562168;COMUNA SOHODOL;Comuna Sohodol;Alba, Comuna Sohodol, STRADA SOHODOL, Numar 1, Bloc/Scara , Sector , Cod postal 517700;;;;
Alba;4562176;COMUNA VALEA LUNGA;Comuna Valea Lunga;Alba, Comuna Valea Lunga, STRADA VICTORIEI, Numar 328 B, Bloc/Scara , Sector , Cod postal 517815;;;;
Alba;4562184;COMUNA STREMT;Comuna Stremt;Alba, Comuna Stremt, STRADA STREMT, Numar 99, Bloc/Scara , Sector , Cod postal 517745;;;;
Alba;4562192;COMUNA  VADU MOTILOR;Comuna Vadu Motilor;Alba, Comuna Vadu Motilor, STRADA VADU  MOTILOR, Numar 1, Bloc/Scara , Sector , Cod postal 517795;;;;
Alba;4562206;COMUNA DAIA ROMANA;Comuna Daia Romana;Alba, Comuna Daia Romana, STRADA DAIA ROMANA, Numar 326, Bloc/Scara , Sector , Cod postal 517270;;;;
Alba;4562214;COMUNA MIRASLAU;Comuna Miraslau;Alba, Comuna Miraslau, STRADA PRINCIPALA, Numar 283, Bloc/Scara , Sector , Cod postal 517470;;;;
Alba;4562222;COMUNA POIANA VADULUI;Comuna Poiana Vadului;Alba, Comuna Poiana Vadului, STRADA Poiana Vadului, Numar 27, Bloc/Scara , Sector , Cod postal 517545;;;;
Alba;4562230;COMUNA ALMASU MARE;Comuna Almasu Mare;Alba, Comuna Almasu Mare, STRADA Almasu Mare, Numar 204, Bloc/Scara , Sector , Cod postal 517030;;;;
Alba;4562249;COMUNA HOREA;Comuna Horea;Alba, Comuna Horea, STRADA VALEA ARAZII, Numar 2, Bloc/Scara , Sector , Cod postal 517340;;;;
Alba;4562257;COMUNA BERGHIN;Comuna Berghin;Alba, Comuna Berghin, STRADA BERGHIN, Numar 361, Bloc/Scara , Sector , Cod postal 517110;;;;
Alba;4562265;COMUNA   DOSTAT;Comuna Dostat;Alba, Comuna Dostat, STRADA DOSTAT, Numar 250, Bloc/Scara , Sector , Cod postal 517275;;;;
Alba;4562281;COMUNA RADESTI;Comuna Radesti;Alba, Comuna Radesti, STRADA RADESTI, Numar 260, Bloc/Scara , Sector , Cod postal 517585;;;;
Alba;4562290;COMUNA ROSIA MONTANA;Comuna Rosia Montana;Alba, Comuna Rosia Montana, Sat Rosia Montana, Numar 184, Bloc/Scara , Sector , Cod postal 517615;;;;
Alba;4562303;COMUNA BLANDIANA;Comuna Blandiana;Alba, Comuna Blandiana, STRADA BLANDIANA, Numar 15, Bloc/Scara , Sector , Cod postal 517160;;;;
Alba;4562311;COMUNA CIURULEASA;Comuna Ciuruleasa;Alba, Comuna Ciuruleasa, STRADA Ciuruleasa, Numar 1, Bloc/Scara , Sector , Cod postal 517250;;;;
Alba;4562320;COMUNA VIDRA;Comuna Vidra;Alba, Comuna Vidra, Sat VIDRA, Numar 1, Bloc/Scara , Sector , Cod postal 517825;;;;
Alba;4562338;COMUNA MIHALT;Comuna Mihalt;Alba, Comuna Mihalt, Sat MIHALT, Numar 635, Bloc/Scara , Sector , Cod postal 517465;;;;
Alba;4562346;COMUNA BISTRA;Comuna Bistra;Alba, Comuna Bistra, STRADA Calea Turzii, Numar 100, Bloc/Scara , Sector , Cod postal 517115;;;;
Alba;4562354;COMUNA SIBOT;Comuna Sibot;Alba, Comuna Sibot, STRADA PRINCIPALA, Numar 153, Bloc/Scara , Sector , Cod postal 517750;;;;
Alba;4562362;COMUNA ALBAC;Comuna Albac;Alba, Comuna Albac, STRADA CLOSCA, Numar 9, Bloc/Scara , Sector , Cod postal 517005;;;;
Alba;4562370;COMUNA NOSLAC;Comuna Noslac;Alba, Comuna Noslac, STRADA NOSLAC, Numar 78, Bloc/Scara , Sector , Cod postal 517515;;;;
Alba;4562389;Comuna Ramet;Comuna Ramet;Alba, Comuna Ramet, Sat Ramet, Numar 1, Bloc/Scara , Sector , Cod postal 517590;;;;
Alba;4562397;COMUNA IGHIU;Comuna Ighiu;Alba, Comuna Ighiu, STRADA Ighiu, Numar 56, Bloc/Scara , Sector , Cod postal 517360;;;;
Alba;4562400;COMUNA   OHABA;Comuna Ohaba;Alba, Comuna Ohaba, STRADA Ohaba, Numar 188, Bloc/Scara , Sector , Cod postal 517530;;;;
Alba;4562419;COMUNA ARIESENI;Comuna Arieseni;Alba, Comuna Arieseni, STRADA ARIESENI, Numar 19, Bloc/Scara , Sector , Cod postal 517040;;;;
Alba;4562427;COMUNA SUGAG;Comuna Sugag;Alba, Comuna Sugag, Sat , Numar 232, Bloc/Scara , Sector , Cod postal 517775;;;;
Alba;4562435;COMUNA LUNCA MURESULUI;Comuna Lunca Muresului;Alba, Comuna Lunca Muresului, STRADA Lunca Muresului, Numar 303, Bloc/Scara , Sector , Cod postal 517405;;;;
Alba;4562443;COMUNA VINTU DE JOS;Comuna Vintu De Jos;Alba, Comuna Vintu De Jos, STRADA LUCIAN BLAGA, Numar 47, Bloc/Scara , Sector , Cod postal 517875;;;;
Alba;4562451;COMUNA SCARISOARA;Comuna Scarisoara;Alba, Comuna Scarisoara, STRADA SCARISOARA, Numar 205, Bloc/Scara , Sector , Cod postal 517680;;;;
Alba;4562460;COMUNA MOGOS;Comuna Mogos;Alba, Comuna Mogos, Sat MOGOS, Numar 3A, Bloc/Scara , Sector , Cod postal 517480;;;;
Alba;4562478;COMUNA CETATEA DE BALTA;Comuna Cetatea de Balta;Alba, Comuna Cetatea de Balta, STRADA Cetatii, Numar 32, Bloc/Scara , Sector , Cod postal 517235;;;;
Alba;4562486;COMUNA FARAU;Comuna Farau;Alba, Comuna Farau, STRADA Farau, Numar 70, Bloc/Scara , Sector , Cod postal 517280;;;;
Alba;4562494;COMUNA GARDA DE SUS;Comuna Garda de Sus;Alba, Comuna Garda de Sus, Sat Garda de Sus, Numar 46A, Bloc/Scara , Sector , Cod postal 517310;;;;
Alba;4562508;COMUNA  CRICAU;Comuna Cricau;Alba, Comuna Cricau, STRADA CRICAU, Numar 58, Bloc/Scara , Sector , Cod postal 517265;;;;
Alba;4562516;COMUNA CIUGUD;Comuna Ciugud;Alba, Comuna Ciugud, STRADA Ciugud, Numar 141, Bloc/Scara , Sector , Cod postal 517240;;;;
Alba;4562524;COMUNA  INTREGALDE;Comuna Intregalde;Alba, Comuna Intregalde, Sat INTREGALDE, Numar 3, Bloc/Scara , Sector , Cod postal 517365;;;;
Alba;4562583;JUDETUL ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, PIATA ION I.C. BRATIANU, Numar 1, Bloc/Scara , Sector , Cod postal 510118;;;;
Alba;4562591;DIRECTIA JUDETEANA PENTRU SPORT SI TINERET ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA dr. IOAN RATIU, Numar 34, Bloc/Scara , Sector , Cod postal 510045;26604620;MINISTERUL TINERETULUI SI SPORTULUI;;
Alba;4562630;LICEUL TEHNOLOGIC ALEXANDRU DOMSA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA TUDOR VLADIMIRESCU, Numar 143, Bloc/Scara , Sector , Cod postal 510189;13729380;MINISTERUL EDUCATIEI NATIONALE;4562923;MUNICIPIUL ALBA IULIA
Alba;4562648;INSPECTORATUL SCOLAR JUDETEAN ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA GABRIEL BETHLEN, Numar 7, Bloc/Scara , Sector , Cod postal 510009;13729380;MINISTERUL EDUCATIEI NATIONALE;;
Alba;4562656;UNITATEA MILITARA 02509 ALBA IULIA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA Mihai VITEAZU, Numar 11, Bloc/Scara , Sector , Cod postal 510010;11424532;Ministerul Apararii Nationale UM02544 Bucuresti;;
Alba;4562664;INSTITUTIA PREFECTULUI - JUDETUL ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, PIATA ION C. BRATIANU, Numar 1, Bloc/Scara , Sector , Cod postal 510118;4267095;MINISTERUL AFACERILOR INTERNE;;
Alba;4562710;LICEUL TEHNOLOGIC DORIN PAVEL;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA TUDOR VLADIMIRESCU, Numar 39, Bloc/Scara , Sector , Cod postal 510167;4562923;Municipiul Alba Iulia;13729380;Ministerul Educatiei Nationale
Alba;4562729;CASA DE ASIGURARI DE SANATATE ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA VASILE GOLDIS, Numar 5, Bloc/Scara , Sector , Cod postal 510007;11697800;CASA NATIOANALA DE ASIGURARI DE SANATATE;;
Alba;4562737;CENTRUL DE TRANSFUZIE SANGUINA ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, BULEVARD REVOLUTIEI 1989, Numar 23, Bloc/Scara , Sector , Cod postal 510039;4266456;MINISTERUL SANATATII;;
Alba;4562788;Colegiul Tehnic Apulum;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA Gheorghe Pop de Basesti, Numar 2, Bloc/Scara , Sector , Cod postal 510215;13729380;Ministerul Educatiei Nationale;4562923;Municiiul Alba Iulia
Alba;4562800;CASA DE CULTURA A STUDENTILOR;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA ARDEALULUI, Numar 1, Bloc/Scara , Sector , Cod postal 510405;26604620;MINISTERUL TINERETULUI SI SPORTULUI;;
Alba;4562923;MUNICIPIUL ALBA IULIA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA Calea Motilor, Numar 5A, Bloc/Scara , Sector , Cod postal 510134;;;;
Alba;4562940;SPITALUL ORASENESC ABRUD;Orasul Abrud;Alba, Orasul Abrud, STRADA REPUBLICII, Numar 13, Bloc/Scara , Sector , Cod postal 515100;4905592;ORASUL ABRUD;;
Alba;4563007;MUNICIPIUL BLAJ;Municipiul Blaj;Alba, Municipiul Blaj, PIATA PIATA 1848, Numar 16, Bloc/Scara , Sector , Cod postal 515400;;;;
Alba;4563058;CAMIN PENTRU PERSOANE VARSTNICE BLAJ;Municipiul Blaj;Alba, Municipiul Blaj, PIATA PIATA 1848, Numar 6, Bloc/Scara , Sector , Cod postal 515400;4563007;MUNICIPIUL BLAJ;;
Alba;4563090;LICEUL TEHNOLOGIC STEFAN MANCIULEA;Municipiul Blaj;Alba, Municipiul Blaj, PIATA Piata 1848, Numar 3, Bloc/Scara , Sector , Cod postal 515400;4563007;MUNICIPIUL BLAJ;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4563155;COLEGIUL NATIONAL INOCHENTIE MICU CLAIN BLAJ;Municipiul Blaj;Alba, Municipiul Blaj, STRADA SIMION BARNUTIU, Numar 2, Bloc/Scara , Sector , Cod postal 515400;4563007;MUNICIPIUL BLAJ;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4563228;ORAS OCNA MURES;Orasul Ocna Mures;Alba, Orasul Ocna Mures, STRADA NICOLAE IORGA, Numar 27, Bloc/Scara , Sector , Cod postal 515700;;;;
Alba;4563260;UNITATEA MILITARA 01585;Municipiul Sebes;Alba, Municipiul Sebes, STRADA Sebes, Numar 58, Bloc/Scara , Sector , Cod postal 515800;11424532;MINISTERUL APARARII NATIONALE;;
Alba;4563325;UM 01760;Municipiul Sebes;Alba, Municipiul Sebes, STRADA CALARASI, Numar 76, Bloc/Scara , Sector , Cod postal 515800;11424532;MINISTERL APARARII NATIONALE;;
Alba;4613300;COMUNA SALCIUA;Comuna Salciua;Alba, Comuna Salciua, Sat SALCIUA DE JOS, Numar 62, Bloc/Scara , Sector , Cod postal 517645;;;;
Alba;4613342;SPITALUL JUDETEAN DE URGENTA ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, BULEVARD REVOLUTIEI 1989, Numar 23, Bloc/Scara , Sector , Cod postal 510007;4562583;CONSILIUL JUDETEAN ALBA;;
Alba;4613377;LICEUL CU PROGRAM SPORTIV ALBA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA STEFAN CEL MARE, Numar 25, Bloc/Scara , Sector , Cod postal 510054;4562923;MUNICIPIUL ALBA IULIA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4613385;SCOALA POSTLICEALA SANITARA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA TUDOR VLADIMIRESCU, Numar 39, Bloc/Scara , Sector , Cod postal 510095;13729380;MINISTERUL EDUCATIEI NATIONALE;4562923;MUNICIPIUL ALBA IULIA
Alba;4613393;COLEGIUL NATIONAL HOREA CLOSCA SI CRISAN ALBA IULIA;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, BULEVARD Bd.1 Decembrie 1918, Numar 11, Bloc/Scara , Sector , Cod postal 510214;4562923;MUNICIPIUL ALBA IULIA;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4613580;COLEGIUL NATIONAL TITU MAIORESCU;Municipiul Aiud;Alba, Municipiul Aiud, STRADA ECATERINA VARGA, Numar 10, Bloc/Scara , Sector , Cod postal 515200;4613636;MUNICIPIUL AIUD;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4613601;COLEGIUL NATIONAL BETHLEN GABOR;Municipiul Aiud;Alba, Municipiul Aiud, STRADA BETHLEN GABOR, Numar 1, Bloc/Scara , Sector , Cod postal 515200;4613636;MUNICIPIU AIUD;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4613610;LICEUL TEHNOLOGIC AGRICOL ALEXANDRU BORZA CIUMBRUD;Municipiul Aiud;Alba, Municipiul Aiud, STRADA CIUMBRUD, Numar 42, Bloc/Scara , Sector , Cod postal 515202;4613636;PRIMARIA MUNICIPIULUI AIUD;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4613628;SPITALUL MUNICIPAL AIUD;Municipiul Aiud;Alba, Municipiul Aiud, STRADA SPITALULUI, Numar 2, Bloc/Scara , Sector , Cod postal 515200;4613636;MUNICIPIUL AIUD;;
Alba;4613636;MUNICIPIUL AIUD;Municipiul Aiud;Alba, Municipiul Aiud, STRADA CUZA VODA, Numar 1, Bloc/Scara , Sector , Cod postal 515200;;;;
Alba;4613660;SCOALA GIMNAZIALA OVIDIU HULEA;Municipiul Aiud;Alba, Municipiul Aiud, STRADA CUZA VODA, Numar 35, Bloc/Scara , Sector , Cod postal 515200;4613636;MUNICIPIUL AIUD;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4613695;CLUBUL SPORTIV SCOLAR BLAJ;Municipiul Blaj;Alba, Municipiul Blaj, STRADA AVRAM IANCU, Numar 2, Bloc/Scara , Sector , Cod postal 515400;13729380;MINISTERUL EDUCATIEI NATIONALE;;
Alba;4613776;LICEUL TEHNOLOGIC TIMOTEI CIPARIU;Municipiul Blaj;Alba, Municipiul Blaj, STRADA DOCTOR VASILE SUCIU, Numar 25, Bloc/Scara , Sector , Cod postal 515400;4563007;PRIMARIA MUNICIPIULUI BLAJ;13729380;MINISTERUL EDUCATIEI SI CERCETARII
Alba;4613849;LICEUL TEORETIC DAVID PRODAN CUGIR;Orasul Cugir;Alba, Orasul Cugir, STRADA VICTORIEI, Numar 15, Bloc/Scara , Sector , Cod postal 515600;13729380;MINISTERUL EDUCATIEI NATIONALE;5146873;ORAS CUGIR
Alba;4650197;COMUNA PONOR;Comuna Ponor;Alba, Comuna Ponor, STRADA Ponor, Numar 84, Bloc/Scara , Sector , Cod postal 517565;;;;
Alba;4650200;LICEUL TEORETIC TEIUS;Orasul Teius;Alba, Orasul Teius, STRADA DECEBAL, Numar 22, Bloc/Scara , Sector , Cod postal 515900;4561960;ORAS TEIUS;13729380;MINISTERUL EDUCATIEI NATIONALE
Alba;4681797;CASA CORPULUI DIDACTIC;Municipiul Alba Iulia;Alba, Municipiul Alba Iulia, STRADA GABRIEL BETHLEN, Numar 7, Bloc/Scara , Sector , Cod postal 510009;13729380;MINISTERUL EDUCATIEI NATIONALE;;
